id,word,word_nikud,category,transliteration,translation_en,audio_file,difficulty,tags,images
28,טוב,טוֹב,שמות תואר,Tov,Good,adj_tov.wav,2,שמות_תואר,
29,רע,רַע,שמות תואר,Ra,Bad,adj_ra.wav,2,שמות_תואר,
30,חדש,חָדָשׁ,שמות תואר,Chadash,New,adj_chadash.wav,2,שמות_תואר,
31,ישן,יָשָׁן,שמות תואר,Yashan,Old,adj_yashan.wav,2,שמות_תואר,
32,חם,חַם,שמות תואר,Cham,Hot,adj_cham.wav,2,שמות_תואר,
33,קר,קַר,שמות תואר,Kar,Cold,adj_kar.wav,2,שמות_תואר,
34,להיות,לִהְיוֹת,פעלים,Lihyot,To be,verb_lihyot.wav,2,פעלים,
35,לעשות,לַעֲשׂוֹת,פעלים,La'asot,To do/make,verb_laasot.wav,2,פעלים,
36,ללכת,לָלֶכֶת,פעלים,Lalechet,To go/walk,verb_lalechet.wav,2,פעלים,
37,לבוא,לָבוֹא,פעלים,Lavo,To come,verb_lavo.wav,2,פעלים,
38,לאכל,לֶאֱכֹל,פעלים,Le'echol,To eat,verb_leechol.wav,2,פעלים,
39,לשתות,לִשְׁתּוֹת,פעלים,Lishtot,To drink,verb_lishtot.wav,2,פעלים,
40,לראות,לִרְאוֹת,פעלים,Lir'ot,To see,verb_lirot.wav,2,פעלים,
41,לשמע,לִשְׁמֹעַ,פעלים,Lishmoa,To hear,verb_lishmoa.wav,2,פעלים,
42,לדבר,לְדַבֵּר,פעלים,Ledaber,To speak,verb_ledaber.wav,2,פעלים,
43,לתת,לָתֵת,פעלים,Latet,To give,verb_latet.wav,2,פעלים,
44,אבא,אַבָּא,בני משפחה,Aba,Father/Dad,family_aba.wav,1,בני_משפחה,
45,אמא,אִמָּא,בני משפחה,Ima,Mother/Mom,family_ima.wav,1,בני_משפחה,
46,אח,אָח,בני משפחה,Ach,Brother,family_ach.wav,1,בני_משפחה,
47,אחות,אָחוֹת,בני משפחה,Achot,Sister,family_achot.wav,1,בני_משפחה,
48,סבא,סַבָּא,בני משפחה,Saba,Grandfather,family_saba.wav,1,בני_משפחה,
49,סבתא,סָבְתָא,בני משפחה,Savta,Grandmother,family_savta.wav,1,בני_משפחה,
50,בן,בֵּן,בני משפחה,Ben,Son,family_ben.wav,1,בני_משפחה,
51,בת,בַּת,בני משפחה,Bat,Daughter,family_bat.wav,1,בני_משפחה,
52,שמח,שַׂמֵחַ,תחושות ורגשות,Same'ach,Happy,feeling_sameach.wav,3,תחושות_ורגשות,
53,עצוב,עָצוּב,תחושות ורגשות,Atzuv,Sad,feeling_atzuv.wav,3,תחושות_ורגשות,
54,כועס,כּוֹעֵס,תחושות ורגשות,Ko'es,Angry,feeling_koes.wav,3,תחושות_ורגשות,
55,עיף,עָיֵף,תחושות ורגשות,Ayef,Tired,feeling_ayef.wav,3,תחושות_ורגשות,
56,רעב,רָעֵב,תחושות ורגשות,Ra'ev,Hungry,feeling_raev.wav,3,תחושות_ורגשות,
57,צמא,צָמֵא,תחושות ורגשות,Tzame,Thirsty,feeling_tzame.wav,3,תחושות_ורגשות,
58,חולה,חוֹלֶה,תחושות ורגשות,Chole,Sick,feeling_chole.wav,3,תחושות_ורגשות,
59,בריא,בָּרִיא,תחושות ורגשות,Bari,Healthy,feeling_bari.wav,3,תחושות_ורגשות,
60,מפחד,מְפַחֵד,תחושות ורגשות,Mefached,Scared/Afraid,feeling_mefached.wav,3,תחושות_ורגשות,
61,אוהב,אוֹהֵב,תחושות ורגשות,Ohev,"Love (verb, m)",feeling_ohev.wav,3,תחושות_ורגשות,
62,בית,בַּיִת,בית וחפצים,Bayit,House/Home,home_bayit.wav,2,בית_וחפצים,
63,דלת,דֶּלֶת,בית וחפצים,Delet,Door,home_delet.wav,2,בית_וחפצים,
64,חלון,חַלּוֹן,בית וחפצים,Chalon,Window,home_chalon.wav,2,בית_וחפצים,
65,שלחן,שֻׁלְחָן,בית וחפצים,Shulchan,Table,home_shulchan.wav,2,בית_וחפצים,
66,כסא,כִּסֵּא,בית וחפצים,Kise,Chair,home_kise.wav,2,בית_וחפצים,
67,מטה,מִטָּה,בית וחפצים,Mita,Bed,home_mita.wav,2,בית_וחפצים,
68,מטבח,מִטְבָּח,בית וחפצים,Mitbach,Kitchen,home_mitbach.wav,2,בית_וחפצים,
69,מקלחת,מִקְלַחַת,בית וחפצים,Miklachat,Shower,home_miklachat.wav,2,בית_וחפצים,
70,טלויזיה,טֶלֶוִיזְיָה,בית וחפצים,Televizia,Television,home_televizia.wav,2,בית_וחפצים,
71,מחשב,מַחְשֵׁב,בית וחפצים,Machshev,Computer,home_machshev.wav,2,בית_וחפצים,
72,כלב,כֶּלֶב,בעלי חיים,Kelev,Dog,animal_kelev.wav,2,בעלי_חיים,
73,חתול,חָתוּל,בעלי חיים,Chatul,Cat,animal_chatul.wav,2,בעלי_חיים,
74,אריה,אַרְיֵה,בעלי חיים,Arye,Lion,animal_arye.wav,2,בעלי_חיים,
75,צפור,צִפּוֹר,בעלי חיים,Tzipor,Bird,animal_tzipor.wav,2,בעלי_חיים,
76,דג,דָּג,בעלי חיים,Dag,Fish,animal_dag.wav,2,בעלי_חיים,
77,סוס,סוּס,בעלי חיים,Sus,Horse,animal_sus.wav,2,בעלי_חיים,
78,פרה,פָּרָה,בעלי חיים,Para,Cow,animal_para.wav,2,בעלי_חיים,
79,נחש,נָחָשׁ,בעלי חיים,Nachash,Snake,animal_nachash.wav,2,בעלי_חיים,
80,לחם,לֶחֶם,מזון ומשקאות,Lechem,Bread,food_lechem.wav,2,מזון_ומשקאות,
81,מים,מַיִם,מזון ומשקאות,Mayim,Water,food_mayim.wav,2,מזון_ומשקאות,
82,חלב,חָלָב,מזון ומשקאות,Chalav,Milk,food_chalav.wav,2,מזון_ומשקאות,
83,פרי,פְּרִי,מזון ומשקאות,Pri,Fruit,food_pri.wav,2,מזון_ומשקאות,
84,ירק,יֶרֶק,מזון ומשקאות,Yerek,Vegetable,food_yerek.wav,2,מזון_ומשקאות,
85,בשר,בָּשָׂר,מזון ומשקאות,Basar,Meat,food_basar.wav,2,מזון_ומשקאות,
86,עוף,עוֹף,מזון ומשקאות,Of,Chicken,food_of.wav,2,מזון_ומשקאות,
87,ביצה,בֵּיצָה,מזון ומשקאות,Beitza,Egg,food_beitza.wav,2,מזון_ומשקאות,
88,גבינה,גְּבִינָה,מזון ומשקאות,Gvina,Cheese,food_gvina.wav,2,מזון_ומשקאות,
89,מיץ,מִיץ,מזון ומשקאות,Mitz,Juice,food_mitz.wav,2,מזון_ומשקאות,
90,יום,יוֹם,מושגי זמן,Yom,Day,time_yom.wav,3,מושגי_זמן,
91,לילה,לַיְלָה,מושגי זמן,Layla,Night,time_layla.wav,3,מושגי_זמן,
92,בקר,בֹּקֶר,מושגי זמן,Boker,Morning,time_boker.wav,3,מושגי_זמן,
93,ערב,עֶרֶב,מושגי זמן,Erev,Evening,time_erev.wav,3,מושגי_זמן,
94,שבוע,שָׁבוּעַ,מושגי זמן,Shavua,Week,time_shavua.wav,3,מושגי_זמן,
95,חדש,חֹדֶשׁ,מושגי זמן,Chodesh,Month,time_chodesh.wav,3,מושגי_זמן,
96,שנה,שָׁנָה,מושגי זמן,Shana,Year,time_shana.wav,3,מושגי_זמן,
97,אתמול,אֶתְמוֹל,מושגי זמן,Etmol,Yesterday,time_etmol.wav,3,מושגי_זמן,
98,היום,הַיּוֹם,מושגי זמן,Hayom,Today,time_hayom.wav,3,מושגי_זמן,
99,מחר,מָחָר,מושגי זמן,Machar,Tomorrow,time_machar.wav,3,מושגי_זמן,
100,שעה,שָׁעָה,מושגי זמן,Sha'a,Hour,time_shaa.wav,3,מושגי_זמן,
101,דקה,דַּקָּה,מושגי זמן,Daka,Minute,time_daka.wav,3,מושגי_זמן,
102,חולצה,חוּלְצָה,ביגוד והנעלה,Chultza,Shirt,clothing_chultza.wav,3,ביגוד_והנעלה,
103,מכנסים,מִכְנָסַיִם,ביגוד והנעלה,Michnasayim,Pants,clothing_michnasayim.wav,3,ביגוד_והנעלה,
104,שמלה,שִׂמְלָה,ביגוד והנעלה,Simla,Dress,clothing_simla.wav,3,ביגוד_והנעלה,
105,נעלים,נַעֲלַיִם,ביגוד והנעלה,Na'alayim,Shoes,clothing_naalayim.wav,3,ביגוד_והנעלה,
106,כובע,כּוֹבַע,ביגוד והנעלה,Kova,Hat,clothing_kova.wav,3,ביגוד_והנעלה,
107,מעיל,מְעִיל,ביגוד והנעלה,Me'il,Coat/Jacket,clothing_meil.wav,3,ביגוד_והנעלה,
108,גרבים,גַּרְבַּיִם,ביגוד והנעלה,Garbayim,Socks,clothing_garbayim.wav,3,ביגוד_והנעלה,
109,מורה,מוֹרֶה,מקצועות ועיסוקים,Moreh,Teacher (m),job_moreh.wav,3,מקצועות_ועיסוקים,
110,מורה,מוֹרָה,מקצועות ועיסוקים,Mora,Teacher (f),job_mora.wav,3,מקצועות_ועיסוקים,
111,רופא,רוֹפֵא,מקצועות ועיסוקים,Rofe,Doctor (m),job_rofe.wav,3,מקצועות_ועיסוקים,
112,רופאה,רוֹפְאָה,מקצועות ועיסוקים,Rof'a,Doctor (f),job_rofa.wav,3,מקצועות_ועיסוקים,
113,שוטר,שׁוֹטֵר,מקצועות ועיסוקים,Shoter,Policeman,job_shoter.wav,3,מקצועות_ועיסוקים,
114,מהנדס,מְהַנְדֵּס,מקצועות ועיסוקים,Mehandes,Engineer,job_mehandes.wav,3,מקצועות_ועיסוקים,
115,טבח,טַבָּח,מקצועות ועיסוקים,Tabach,Cook/Chef,job_tabach.wav,3,מקצועות_ועיסוקים,
116,נהג,נַהָג,מקצועות ועיסוקים,Nahag,Driver,job_nahag.wav,3,מקצועות_ועיסוקים,
117,חיל,חַיָּל,מקצועות ועיסוקים,Chayal,Soldier,job_chayal.wav,3,מקצועות_ועיסוקים,
118,בתספר,בֵּתסֵפֶר,מקומות,Beit Sefer,School,place_beit_sefer.wav,3,מקומות,
119,בתחולים,בֵּתחוֹלִים,מקומות,Beit Cholim,Hospital,place_beit_cholim.wav,3,מקומות,
120,חנות,חֲנוּת,מקומות,Chanut,Store/Shop,place_chanut.wav,3,מקומות,
121,רחוב,רְחוֹב,מקומות,Rechov,Street,place_rechov.wav,3,מקומות,
122,עיר,עִיר,מקומות,Ir,City,place_ir.wav,3,מקומות,
123,ים,יָם,מקומות,Yam,Sea,place_yam.wav,3,מקומות,
124,הר,הַר,מקומות,Har,Mountain,place_har.wav,3,מקומות,
125,יער,יַעַר,מקומות,Ya'ar,Forest,place_yaar.wav,3,מקומות,
126,שדה,שָׂדֶה,מקומות,Sadeh,Field,place_sadeh.wav,3,מקומות,
127,יום ראשון,יוֹם רִאשׁוֹן,ימות השבוע,Yom Rishon,Sunday,day_rishon.wav,3,ימות_השבוע,
128,יום שני,יוֹם שֵׁנִי,ימות השבוע,Yom Sheni,Monday,day_sheni.wav,3,ימות_השבוע,
129,יום שלישי,יוֹם שְׁלִישִׁי,ימות השבוע,Yom Shlishi,Tuesday,day_shlishi.wav,3,ימות_השבוע,
130,יום רביעי,יוֹם רְבִיעִי,ימות השבוע,Yom Revi'i,Wednesday,day_revii.wav,3,ימות_השבוע,
131,יום חמישי,יוֹם חֲמִישִׁי,ימות השבוע,Yom Chamishi,Thursday,day_chamishi.wav,3,ימות_השבוע,
132,יום ששי,יוֹם שִׁשִּׁי,ימות השבוע,Yom Shishi,Friday,day_shishi.wav,3,ימות_השבוע,
133,שבת,שַׁבָּת,ימות השבוע,Shabbat,Saturday/Sabbath,day_shabbat.wav,3,ימות_השבוע,
134,ב...,בְּ...,מילות יחס,Be...,In/At,prep_be.wav,4,מילות_יחס,
135,ל...,לְ...,מילות יחס,Le...,To/For,prep_le.wav,4,מילות_יחס,
136,מ...,מִ...,מילות יחס,Mi...,From,prep_mi.wav,4,מילות_יחס,
137,על,עַל,מילות יחס,Al,On/About,prep_al.wav,4,מילות_יחס,
138,עם,עִם,מילות יחס,Im,With,prep_im.wav,4,מילות_יחס,
139,של,שֶׁל,מילות יחס,Shel,Of (belonging to),prep_shel.wav,4,מילות_יחס,
140,את,אֶת,מילות יחס,Et,(Direct object marker),prep_et.wav,4,מילות_יחס,
141,בין,בֵּין,מילות יחס,Bein,Between/Among,prep_bein.wav,4,מילות_יחס,
142,לפני,לִפְנֵי,מילות יחס,Lifnei,Before,prep_lifnei.wav,4,מילות_יחס,
143,אחרי,אַחֲרֵי,מילות יחס,Acharei,After,prep_acharei.wav,4,מילות_יחס,
144,תחת,תַּחַת,מילות יחס,Tachat,Under,prep_tachat.wav,4,מילות_יחס,
145,ליד,לְיַד,מילות יחס,Leyad,Next to/Near,prep_leyad.wav,4,מילות_יחס,
146,ראש,רֹאשׁ,חלקי גוף,Rosh,Head,body_rosh.wav,2,חלקי_גוף,
147,עין,עַיִן,חלקי גוף,Ayin,Eye,body_ayin.wav,2,חלקי_גוף,
148,אזן,אֹזֶן,חלקי גוף,Ozen,Ear,body_ozen.wav,2,חלקי_גוף,
149,אף,אַף,חלקי גוף,Af,Nose,body_af.wav,2,חלקי_גוף,
150,פה,פֶּה,חלקי גוף,Peh,Mouth,body_peh.wav,2,חלקי_גוף,
151,יד,יָד,חלקי גוף,Yad,Hand,body_yad.wav,2,חלקי_גוף,
152,רגל,רֶגֶל,חלקי גוף,Regel,Leg/Foot,body_regel.wav,2,חלקי_גוף,
153,שער,שֵׂעָר,חלקי גוף,Se'ar,Hair,body_sear.wav,2,חלקי_גוף,
154,לב,לֵב,חלקי גוף,Lev,Heart,body_lev.wav,2,חלקי_גוף,
155,בטן,בֶּטֶן,חלקי גוף,Beten,Stomach,body_beten.wav,2,חלקי_גוף,
156,שמים,שָׁמַיִם,טבע ומזג אוויר,Shamayim,Sky,nature_shamayim.wav,3,טבע_ומזג_אוויר,
157,אדמה,אֲדָמָה,טבע ומזג אוויר,Adama,Earth/Ground,nature_adama.wav,3,טבע_ומזג_אוויר,
158,אויר,אֲוִיר,טבע ומזג אוויר,Avir,Air,nature_avir.wav,3,טבע_ומזג_אוויר,
159,אש,אֵשׁ,טבע ומזג אוויר,Esh,Fire,nature_esh.wav,3,טבע_ומזג_אוויר,
160,גשם,גֶּשֶׁם,טבע ומזג אוויר,Geshem,Rain,nature_geshem.wav,3,טבע_ומזג_אוויר,
161,שלג,שֶׁלֶג,טבע ומזג אוויר,Sheleg,Snow,nature_sheleg.wav,3,טבע_ומזג_אוויר,
162,שמש,שֶׁמֶשׁ,טבע ומזג אוויר,Shemesh,Sun,nature_shemesh.wav,3,טבע_ומזג_אוויר,
163,ענן,עָנָן,טבע ומזג אוויר,Anan,Cloud,nature_anan.wav,3,טבע_ומזג_אוויר,
164,רוח,רוּחַ,טבע ומזג אוויר,Ruach,Wind,nature_ruach.wav,3,טבע_ומזג_אוויר,
165,פרח,פֶּרַח,טבע ומזג אוויר,Perach,Flower,nature_perach.wav,3,טבע_ומזג_אוויר,
166,עץ,עֵץ,טבע ומזג אוויר,Etz,Tree,nature_etz.wav,3,טבע_ומזג_אוויר,
167,לחשב,לַחְשֹׁב,פעלים נוספים,Lachshov,To think,verb_lachshov.wav,3,פעלים_נוספים,
168,ללמד,לִלְמֹד,פעלים נוספים,Lilmod,To learn,verb_lilmod.wav,3,פעלים_נוספים,
169,להבין,לְהָבִין,פעלים נוספים,Lehavin,To understand,verb_lehavin.wav,3,פעלים_נוספים,
170,לשאל,לִשְׁאֹל,פעלים נוספים,Lish'ol,To ask,verb_lishol.wav,3,פעלים_נוספים,
171,לענות,לַעֲנוֹת,פעלים נוספים,La'anot,To answer,verb_laanot.wav,3,פעלים_נוספים,
172,לעבד,לַעֲבֹד,פעלים נוספים,La'avod,To work,verb_laavod.wav,3,פעלים_נוספים,
173,לשחק,לְשַׂחֵק,פעלים נוספים,Lesachek,To play,verb_lesachek.wav,3,פעלים_נוספים,
174,לקרא,לִקְרֹא,פעלים נוספים,Likro,To read,verb_likro.wav,3,פעלים_נוספים,
175,לכתב,לִכְתֹּב,פעלים נוספים,Lichtov,To write,verb_lichtov.wav,3,פעלים_נוספים,
176,לנוח,לָנוּחַ,פעלים נוספים,Lanuach,To rest,verb_lanuach.wav,3,פעלים_נוספים,
177,לעזר,לַעֲזֹר,פעלים נוספים,La'azor,To help,verb_laazor.wav,3,פעלים_נוספים,
178,לרוץ,לָרוּץ,פעלים נוספים,Larutz,To run,verb_larutz.wav,3,פעלים_נוספים,
179,ו...,וְ...,מילות קישור,Ve...,And,connector_ve.wav,3,מילות_קישור,
180,אבל,אֲבָל,מילות קישור,Aval,But,connector_aval.wav,3,מילות_קישור,
181,או,אוֹ,מילות קישור,O,Or,connector_o.wav,3,מילות_קישור,
182,אם,אִם,מילות קישור,Im,If,connector_im.wav,3,מילות_קישור,
183,כי,כִּי,מילות קישור,Ki,Because,connector_ki.wav,3,מילות_קישור,
184,אז,אָז,מילות קישור,Az,So/Then,connector_az.wav,3,מילות_קישור,
185,גם,גַּם,מילות קישור,Gam,Also/Too,connector_gam.wav,3,מילות_קישור,
186,שלש,שָׁלֹשׁ,מספרים,Shalosh,Three,number_3.wav,1,מספרים,
187,ארבע,אַרְבַּע,מספרים,Arba,Four,number_4.wav,1,מספרים,
188,חמש,חָמֵשׁ,מספרים,Chamesh,Five,number_5.wav,1,מספרים,
189,אופנים,אוֹפַנַּיִם,תחבורה,Ofanayim,Bicycle,transport_ofanayim.wav,3,תחבורה,
190,סירה,סִירָה,תחבורה,Sira,Boat,transport_sira.wav,3,תחבורה,
191,רעיון,רַעְיוֹן,מושגים מופשטים,Ra'ayon,Idea,abstract_raayon.wav,3,מושגים_מופשטים,
192,בעיה,בְּעָיָה,מושגים מופשטים,Be'aya,Problem,abstract_beaya.wav,3,מושגים_מופשטים,
193,שאלה,שְׁאֵלָה,מושגים מופשטים,She'ela,Question,abstract_sheela.wav,3,מושגים_מופשטים,
194,תשובה,תְּשׁוּבָה,מושגים מופשטים,Tshuva,Answer,abstract_tshuva.wav,3,מושגים_מופשטים,
195,אהבה,אַהֲבָה,מושגים מופשטים,Ahava,Love,abstract_ahava.wav,3,מושגים_מופשטים,
196,שלום,שָׁלוֹם,מושגים מופשטים,Shalom,Peace,abstract_shalom.wav,3,מושגים_מופשטים,
197,אמת,אֱמֶת,מושגים מופשטים,Emet,Truth,abstract_emet.wav,3,מושגים_מופשטים,
198,שקר,שֶׁקֶר,מושגים מופשטים,Sheker,Lie,abstract_sheker.wav,3,מושגים_מופשטים,
199,חיים,חַיִּים,מושגים מופשטים,Chayim,Life,abstract_chayim.wav,3,מושגים_מופשטים,
200,עולם,עוֹלָם,מושגים מופשטים,Olam,World,abstract_olam.wav,3,מושגים_מופשטים,
201,קל,קַל,שמות תואר נוספים,Kal,Easy,adj_kal.wav,3,שמות_תואר_נוספים,
202,קשה,קָשֶׁה,שמות תואר נוספים,Kasheh,Hard/Difficult,adj_kasheh.wav,3,שמות_תואר_נוספים,
203,מלא,מָלֵא,שמות תואר נוספים,Male,Full,adj_male.wav,3,שמות_תואר_נוספים,
204,ריק,רֵיק,שמות תואר נוספים,Rek,Empty,adj_rek.wav,3,שמות_תואר_נוספים,
205,נקי,נָקִי,שמות תואר נוספים,Naki,Clean,adj_naki.wav,3,שמות_תואר_נוספים,
206,מלכלך,מְלֻכְלָךְ,שמות תואר נוספים,Meluchlach,Dirty,adj_meluchlach.wav,3,שמות_תואר_נוספים,
207,ארך,אָרֹךְ,שמות תואר נוספים,Aroch,Long,adj_aroch.wav,3,שמות_תואר_נוספים,
208,קצר,קָצָר,שמות תואר נוספים,Katzar,Short,adj_katzar.wav,3,שמות_תואר_נוספים,
209,חזק,חָזָק,שמות תואר נוספים,Chazak,Strong,adj_chazak.wav,3,שמות_תואר_נוספים,
210,חלש,חַלָּשׁ,שמות תואר נוספים,Chalash,Weak,adj_chalash.wav,3,שמות_תואר_נוספים,
211,מהיר,מָהִיר,שמות תואר נוספים,Mahir,Fast,adj_mahir.wav,3,שמות_תואר_נוספים,
212,אטי,אִטִּי,שמות תואר נוספים,Iti,Slow,adj_iti.wav,3,שמות_תואר_נוספים,
213,יקר,יָקָר,שמות תואר נוספים,Yakar,Expensive,adj_yakar.wav,3,שמות_תואר_נוספים,
214,זול,זוֹל,שמות תואר נוספים,Zol,Cheap,adj_zol.wav,3,שמות_תואר_נוספים,
215,פתוח,פָּתוּחַ,שמות תואר נוספים,Patu'ach,Open,adj_patuach.wav,3,שמות_תואר_נוספים,
216,סגור,סָגוּר,שמות תואר נוספים,Sagur,Closed,adj_sagur.wav,3,שמות_תואר_נוספים,
217,כל,כֹּל,כמויות,Kol,All/Every,quantity_kol.wav,3,כמויות,
218,הרבה,הַרְבֵּה,כמויות,Harbe,A lot/Many,quantity_harbe.wav,3,כמויות,
219,קצת,קְצָת,כמויות,Ktzat,A little/A few,quantity_ktzat.wav,3,כמויות,
220,מעט,מְעַט,כמויות,Me'at,Few,quantity_meat.wav,3,כמויות,
221,מספיק,מַסְפִּיק,כמויות,Maspik,Enough,quantity_maspik.wav,3,כמויות,
222,יותר,יוֹתֵר,כמויות,Yoter,More,quantity_yoter.wav,3,כמויות,
223,פחות,פָּחוֹת,כמויות,Pachot,Less,quantity_pachot.wav,3,כמויות,
224,כלום,כְּלוּם,כמויות,Klum,Nothing,quantity_klum.wav,3,כמויות,
225,משהו,מַשֶּׁהוּ,כמויות,Mashehu,Something,quantity_mashehu.wav,3,כמויות,
226,להרגיש,לְהַרְגִּישׁ,פעלים - חושים ותפיסה,Lehargish,To feel,verb_lehargish.wav,3,פעלים_-_חושים_ותפיסה,
227,להסתכל,לְהִסְתַּכֵּל,פעלים - חושים ותפיסה,Lehistakel,To look,verb_lehistakel.wav,3,פעלים_-_חושים_ותפיסה,
228,להקשיב,לְהַקְשִׁיב,פעלים - חושים ותפיסה,Lehakshiv,To listen,verb_lehakshiv.wav,3,פעלים_-_חושים_ותפיסה,
229,לזכר,לִזְכֹּר,פעלים - חושים ותפיסה,Lizkor,To remember,verb_lizkor.wav,3,פעלים_-_חושים_ותפיסה,
230,לשכח,לִשְׁכֹּחַ,פעלים - חושים ותפיסה,Lishko'ach,To forget,verb_lishkoach.wav,3,פעלים_-_חושים_ותפיסה,
231,לדעת,לָדַעַת,פעלים - חושים ותפיסה,Lada'at,To know,verb_ladaat.wav,3,פעלים_-_חושים_ותפיסה,
232,להאמין,לְהַאֲמִין,פעלים - חושים ותפיסה,Leha'amin,To believe,verb_lehaamin.wav,3,פעלים_-_חושים_ותפיסה,
233,לקוות,לְקַוּוֹת,פעלים - חושים ותפיסה,Lekavot,To hope,verb_lekavot.wav,3,פעלים_-_חושים_ותפיסה,
234,לחלום,לַחֲלוֹם,פעלים - חושים ותפיסה,Lachalom,To dream,verb_lachalom.wav,3,פעלים_-_חושים_ותפיסה,
235,תלמיד,תַּלְמִיד,לימודים ובית ספר,Talmid,Student (m),school_talmid.wav,3,לימודים_ובית_ספר,
236,תלמידה,תַּלְמִידָה,לימודים ובית ספר,Talmida,Student (f),school_talmida.wav,3,לימודים_ובית_ספר,
237,שעור,שִׁעוּר,לימודים ובית ספר,Shi'ur,Lesson,school_shiur.wav,3,לימודים_ובית_ספר,
238,מבחן,מִבְחָן,לימודים ובית ספר,Mivchan,Test/Exam,school_mivchan.wav,3,לימודים_ובית_ספר,
239,מחברת,מַחְבֶּרֶת,לימודים ובית ספר,Machberet,Notebook,school_machberet.wav,3,לימודים_ובית_ספר,
240,לוח,לוּחַ,לימודים ובית ספר,Lu'ach,Board,school_luach.wav,3,לימודים_ובית_ספר,
241,הפסקה,הַפְסָקָה,לימודים ובית ספר,Hafsaka,Break/Recess,school_hafsaka.wav,3,לימודים_ובית_ספר,
242,כסף,כֶּסֶף,כסף ומסחר,Kesef,Money,commerce_kesef.wav,3,כסף_ומסחר,
243,מחיר,מְחִיר,כסף ומסחר,Mechir,Price,commerce_mechir.wav,3,כסף_ומסחר,
244,לקנות,לִקְנוֹת,כסף ומסחר,Liknot,To buy,commerce_liknot.wav,3,כסף_ומסחר,
245,למכר,לִמְכֹּר,כסף ומסחר,Limkor,To sell,commerce_limkor.wav,3,כסף_ומסחר,
246,חשבון,חֶשְׁבּוֹן,כסף ומסחר,Cheshbon,Bill/Account,commerce_cheshbon.wav,3,כסף_ומסחר,
247,עדף,עֹדֶף,כסף ומסחר,Odef,Change (money),commerce_odef.wav,3,כסף_ומסחר,
248,ארנק,אַרְנָק,כסף ומסחר,Arnak,Wallet,commerce_arnak.wav,3,כסף_ומסחר,
249,ימין,יָמִין,כיוונים ומיקומים,Yamin,Right,direction_yamin.wav,3,כיוונים_ומיקומים,
250,שמאל,שְׂמֹאל,כיוונים ומיקומים,Smol,Left,direction_smol.wav,3,כיוונים_ומיקומים,
251,למעלה,לְמַעְלָה,כיוונים ומיקומים,Lemala,Up/Upstairs,direction_lemala.wav,3,כיוונים_ומיקומים,
252,למטה,לְמַטָּה,כיוונים ומיקומים,Lemata,Down/Downstairs,direction_lemata.wav,3,כיוונים_ומיקומים,
